cnn_architecture,model,train_accuracy,validation_accuracy,test_accuracy,precision,recall,f1
CNN-1 (ResNet18),resnet18,0.9891747440891385,0.9885290148448043,0.9937242244934552,0.9647435897435898,0.9788617886178862,0.9717514124293786
CNN-2 (MobileNetV2),mobilenet_v2,0.9896729776247849,0.9848178137651822,0.9875381029227183,0.9173680183626626,0.9747967479674797,0.9452108789909341
CNN-3 (EfficientNet-B0),efficientnet_b0,0.9876347495244134,0.9907782276203329,0.9920207997131074,0.9481539670070699,0.9813008130081301,0.9644426687974431
