model,pretrained_loaded,best_epoch,best_val_macro_f1,selected_threshold_from_val,test_selected_threshold_accuracy,test_selected_threshold_macro_f1,test_selected_threshold_recall_closed,test_selected_threshold_false_open_count,test_selected_threshold_false_closed_count,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_precision_closed,train_recall_closed,train_f1_closed,train_precision_open,train_recall_open,train_f1_open,train_num_samples,train_false_open_count,train_false_closed_count,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_precision_closed,val_recall_closed,val_f1_closed,val_precision_open,val_recall_open,val_f1_open,val_num_samples,val_false_open_count,val_false_closed_count,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_precision_closed,test_recall_closed,test_f1_closed,test_precision_open,test_recall_open,test_f1_open,test_num_samples,test_false_open_count,test_false_closed_count,checkpoint_path
resnet18,True,4,0.9837218714040641,0.3,0.9760223481027392,0.9760212299822918,0.9907980326828494,58,251,0.99162456342613,0.9916337011825397,0.9916171718097164,0.9916241182534964,0.9916244930267367,0.9927159565009234,0.9904128283862164,0.9915630550621669,0.990551445864156,0.9928215152332165,0.991685181444826,58982,281,213,0.9837286054186815,0.9836295062907864,0.9839256890713546,0.9837218714040641,0.983731095733521,0.9758979940911211,0.9909995262908574,0.9833907865872767,0.9913610184904517,0.9768518518518519,0.9840529562208515,13029,57,155,0.9846356793668037,0.9846012709276553,0.9846622271328683,0.9846293746019135,0.9846361624905501,0.982761347461648,0.9858797398064414,0.9843180738159354,0.9864411943936624,0.9834447144592953,0.9849406753878917,12887,89,109,/content/drive/MyDrive/Drowsiness_Detection_Colab/outputs/mrl_eye/checkpoints/best_resnet18_mrl_eye.pt
mobilenet_v2,True,8,0.9791083314409976,0.3,0.9847908745247148,0.9847857288279747,0.9879422497223544,76,120,0.9932521786307688,0.9932563046137515,0.9932481782627096,0.9932518713675986,0.9932521508381201,0.9938170390107263,0.9925963834868645,0.9932063362010105,0.9926955702167767,0.9938999730385548,0.9932974065341866,58982,217,181,0.9791234937447233,0.9790853709433487,0.9791329566298623,0.9791083314409976,0.9791240121140815,0.9776201733648542,0.9794726038212538,0.978545511910396,0.9805505685218432,0.9787933094384708,0.9796711509715994,13029,130,142,0.98626522852487,0.9862740431433692,0.9862434598348411,0.9862582697344271,0.9862650125624081,0.9866539561487131,0.9852451213707758,0.9859490354846392,0.9858941301380252,0.9872417982989065,0.9865675039842149,12887,93,84,/content/drive/MyDrive/Drowsiness_Detection_Colab/outputs/mrl_eye/checkpoints/best_mobilenet_v2_mrl_eye.pt
efficientnet_b0,True,8,0.9791148538769124,0.3,0.9851788624194925,0.9851728270843532,0.986514358242107,85,106,0.9943881184090061,0.9944130320793605,0.9943734425993961,0.9943877134824157,0.9943880060641038,0.9967090603681739,0.9919822586148073,0.9943400420649442,0.9921170037905471,0.9967646265839849,0.9944353848998874,58982,235,96,0.9791234937447233,0.9790236379193329,0.9793169999892468,0.9791148538769124,0.9791266888656496,0.9712330897216607,0.9862624348649929,0.9786900658100909,0.9868141861170051,0.9723715651135006,0.979539641943734,13029,87,185,0.9861876309459144,0.9862741406147025,0.9861065768600614,0.9861788405680998,0.986186440863995,0.9892954146029718,0.9823893384102809,0.9858302818022607,0.9832528666264333,0.9898238153098421,0.9865273993339388,12887,111,67,/content/drive/MyDrive/Drowsiness_Detection_Colab/outputs/mrl_eye/checkpoints/best_efficientnet_b0_mrl_eye.pt
