model,train_accuracy,val_accuracy,test_accuracy,test_macro_f1,test_recall_closed,test_false_open_count,test_false_closed_count,selected_threshold_from_val,test_selected_threshold_macro_f1,test_selected_threshold_recall_closed,test_selected_threshold_false_open_count,test_selected_threshold_false_closed_count,pretrained_loaded
resnet18,0.99162456342613,0.9837286054186816,0.9846356793668036,0.9846293746019136,0.9858797398064414,89,109,0.3,0.9760212299822918,0.9907980326828494,58,251,True
mobilenet_v2,0.9932521786307688,0.9791234937447232,0.98626522852487,0.9862582697344272,0.9852451213707758,93,84,0.3,0.9847857288279748,0.9879422497223544,76,120,True
efficientnet_b0,0.994388118409006,0.9791234937447232,0.9861876309459144,0.9861788405680998,0.9823893384102808,111,67,0.3,0.9851728270843532,0.986514358242107,85,106,True
